compound_name,smiles,cid,thalf_h,thalf_source,thalf_notes
Degarelix,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(NC(=O)[C@H]2CC(=O)NC(=O)N2)cc1)C(=O)N[C@H](Cc1ccc(NC(N)=O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@@H]1C(=O)N[C@H](C)C(N)=O,16136245.0,32.9,PubChem,PubChem: half-life: 41.5 - 70.2 days;  Absorption half-life: 32.9 hours
Pentobarbital,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,4737.0,50.0,PubChem,PubChem: Half Life: 5 to 50 hours
Isradipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,3784.0,1.5,FDA,FDA label: t 1.5 hours
Spisulosine,CCCCCCCCCCCCCCC[C@@H](O)[C@H](C)N,9925886.0,,,
Tiagabine,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C,60648.0,8.0,PubChem,PubChem: Half Life: 7-9 hours
Cephaloridine,O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12,5773.0,,,
Canagliflozin,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1,24812758.0,10.6,PubChem,PubChem: half-life of canagliflozin was 10.6 hours
Batanopride,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1O[C@H](C)C(C)=O,59692.0,,,
Biricodar,COc1cc(C(=O)C(=O)N2CCCC[C@H]2C(=O)OC(CCCc2cccnc2)CCCc2cccnc2)cc(OC)c1OC,3037617.0,,,
Pancuronium,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1,441289.0,,,
Libenzapril,NCCCC[C@H](N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O)C(=O)O,71320.0,,,
Diprophylline,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,3182.0,,,
Diflomotecan,CC[C@@]1(O)CC(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(F)c(F)cc3nc2-1,219023.0,,,
Linezolid,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,441401.0,5.0,PubChem,PubChem: Half Life: 4.5-5.5 hours
Pefloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,51081.0,,,
Sulbenicillin,CC1(C)S[C@@H]2[C@H](NC(=O)C(c3ccccc3)S(=O)(=O)O)C(=O)N2[C@H]1C(=O)O,20055036.0,,,
Prexasertib,COc1cccc(OCCCN)c1-c1cc(Nc2cnc(C#N)cn2)n[nH]1,46700756.0,,,
Treprostinil,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O,6918140.0,10.0,PubChem,"PubChem: t 100%, and it reaches steady-state concentrations in approximately 10 hours"
Ceftaroline Fosamil,CCO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CS[C@H]12)c1nsc(NP(=O)(O)O)n1,9852981.0,,,
Carumom,NC(=O)OC[C@@H]1[C@H](NC(=O)/C(=N\OCC(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,,,,
Gestodene,C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,3033968.0,18.0,PubChem,PubChem: t 18 hours
Endralazine,N/N=c1/cc2c(n[nH]1)CCN(C(=O)c1ccccc1)C2,47608.0,,,
"Uk-396,082",CCCn1cnc(C[C@H](CCCN)C(=O)O)c1,11241908.0,,,
Prednisolone,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,5755.0,2.8,PubChem,PubChem: half life is 2.1-3.5 hours
Idarubicin,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,42890.0,45.0,FDA,FDA label: half-life exceeds 45 hours
Methylphenidate,COC(=O)C(c1ccccc1)C1CCCCN1,4158.0,1.0,PubChem,PubChem: t 1 hour
Miglitol,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,441314.0,2.0,PubChem,PubChem: half-life of miglitol from plasma is approximately 2 hours
Bilobalide,CC(C)(C)C1(O)CC2OC(=O)CC23C(=O)OC2OC(=O)C(O)C231,73581.0,,,
Mibefradil,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,60663.0,,,
Tenofovir,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O,464205.0,32.0,PubChem,PubChem: half-life of tenofovir is of 32 hours
Cefadroxil,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,47965.0,12.0,FDA,FDA label: t 12 hours
Vilanterol,OCc1cc([C@@H](O)CNCCCCCCOCCOCc2c(Cl)cccc2Cl)ccc1O,10184665.0,11.0,PubChem,"PubChem: half-life for vilanterol, as determined from inhalation administration of multiple doses, is 11 hours"
Eptifibatide,N=C(N)NCCCC[C@@H]1NC(=O)CCSSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)C(Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O,448812.0,0.17,PubChem,PubChem: half-life of 5 +/- 2.5 minutes and a mean terminal elimination half-life of 1.13 +/- 0.17 hours
Terlipressin,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](NC(=O)CNC(=O)CNC(=O)CN)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,72081.0,0.9,PubChem,PubChem: half-life of terlipressin was 0.9 hours
Ixazomib,CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O,25183872.0,,,
Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,5505.0,5.0,PubChem,PubChem: HALF-LIFE OF TOLBUTAMIDE IS ABOUT 5 HR
